Question,UserID,Reason,VerbalCode1,Code1,CodeFamily1,VerbalCode2,Code2,CodeFamily2,Assess,Status,Correct,STimeViewed,SFix,SRevisits,KTimeViewed,KFix,KRevisits,PTimeViewed,PFix,PRevisits,Gender,Birth_Year,Ethnicity,ParentEduc,STVSQRT,KTVSQRT,PTVSQRT,KFixSQRT,SFixSQRT,PFixSQRT,SRevisitsSQRT,KRevisitsSQRT,PRevisitsSQRT,MAC1,MAC2,MAC3,MAC4,MAC5,MAC6,MAC7,MAC8,MAC9,MAC10,MAC11,SMDS1,SMDS2,SMDS3,Attention_Check,SMDS4,SMDS5,SMDS6,SMDS7,SMDS8,SMDS9,SMDS10,SMDS11,SMDS12,Risk1,Risk2,Risk3,Risk4,Risk5,Risk6,Risk7
15,12,"""Yeah, I'm going to say that one's probably false, again. That one just sounds like a personal statement and like an opinion rather than a fact, so that one's probably false. Like blood clots in the lungs, who knows if that's true or not, unless you do, like, more research. Everyone that cures at home survives Covid. That's definitely not true.""",false post based on opinion,58,10, , , ,1,1,1,11.237,39,17,6.898,31,17,0.263,1,0,1,12,1,5,3.35,2.63,0.51,5.57,6.24,1,4.12,4.12,0,4,4,2,3,3,1,3,4,1,3,1,4,3,3,3,4,3,3,3,4,4,2,5,5,7,4,6,5,7,4,5
16,12,"""I'm going to say that's true. They have the CDC mark in the bottom right. It's also a verified account. South Caroline Department of Health, maybe, is what that stands for. I'm not sure, but that one looks true.""",CDC,6,2, , , ,2,2,1,2.971,14,14,2.234,10,7,7.495,25,2,1,12,1,5,1.72,1.49,2.74,3.16,3.74,5,3.74,2.65,1.41,4,4,2,3,3,1,3,4,1,3,1,4,3,3,3,4,3,3,3,4,4,2,5,5,7,4,6,5,7,4,5
17,12,"""That one's probably true, even though, like what they're-- maybe you shouldn't question the vaccine, but I bet the tweet itself about her going to Samoa and, like, urging the Prime Minster not to I bet that's true. So, I would say this one is probably true.""",more practical,49,9, , , ,2,1,2,8.527,32,22,1.349,9,8,2.905,12,4,1,12,1,5,2.92,1.16,1.7,3,5.66,3.46,4.69,2.83,2,4,4,2,3,3,1,3,4,1,3,1,4,3,3,3,4,3,3,3,4,4,2,5,5,7,4,6,5,7,4,5
18,12,"""Yeah, again, I'm going to say that's probably false. I mean you can't even though they have the FDA in there, what Jennifer is saying is probably false just because 15% weight loss you can't prove that. Every individual is different with that kind of stuff. So that's probably got to be an opinion rather than a factual statement.""",false post based on opinion,58,10, , , ,1,2,2,4.83,25,18,7.513,30,22,5.188,18,14,1,12,1,5,2.2,2.74,2.28,5.48,5,4.24,4.24,4.69,3.74,4,4,2,3,3,1,3,4,1,3,1,4,3,3,3,4,3,3,3,4,4,2,5,5,7,4,6,5,7,4,5
19,12,"""It's probably true. That sounds like a real drug, even though there's no, like, backing to it. That feels like a real drug ad you'd see on TV or in the paper or something. I'd say that one's true.""",looks possible/promising,29,6, , , ,2,1,2,6.473,24,12,9.087,30,16,0.937,6,5,1,12,1,5,2.54,3.01,0.97,5.48,4.9,2.45,3.46,4,2.24,4,4,2,3,3,1,3,4,1,3,1,4,3,3,3,4,3,3,3,4,4,2,5,5,7,4,6,5,7,4,5
20,12,"""I think what Harvard is saying is true, but the link they're using, dietary supplements linked with severe health events in children"""" actually, yeah, I'll say that's true. I'm sure children probably shouldn't be taking those supplements. I mean they're kids. And it's Harvard. They're verified. I'll say that one's true.""",Harvard,8,2,verified,17,4,2,2,1,2.86,14,10,1.054,9,9,10.681,36,16,1,12,1,5,1.69,1.03,3.27,3,3.74,6,3.16,3,4,4,4,2,3,3,1,3,4,1,3,1,4,3,3,3,4,3,3,3,4,4,2,5,5,7,4,6,5,7,4,5
1,13,"""I'm going to say it's fake. I don't know it just doesn't seem I don't know. It seems like misinformation. Plus Newsmax isn't always, like, a really trustable source.""",false post looks fake,37,7, , , ,1,1,1,9.824,30,13,4.764,20,10,4.32,19,13,1,11,1,5,3.13,2.18,2.08,4.47,5.48,4.36,3.61,3.16,3.61,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
2,13,"""I'm going to say true, because it's FDA. But, I don't know if that's their true Twitter handle, but they are verified. So, I'm going to assume it's true.""",FDA,7,2,verified,17,4,2,2,1,6.324,30,23,3.105,17,17,1.857,14,9,1,11,1,5,2.51,1.76,1.36,4.12,5.48,3.74,4.8,4.12,3,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
3,13,"""I'm going to say fake because I don't know, it just looks like a fake ad you'd normally see on Twitter. I don't know, it just looks fake. I guess like the spelling too. I don't know it just seems like a tabloid you'd see at Wal-Mart or something. It just doesn't seem legit.""",false post looks fake,37,7, , , ,1,1,1,8.693,32,7,5.931,27,20,6.244,28,15,1,11,1,5,2.95,2.44,2.5,5.2,5.66,5.29,2.65,4.47,3.87,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
4,13,"""I mean it's like a doctor's note so it kind of looks real, but I don't know. I'm going to say fake. I mean [inaudible; 0:02:07.9] the more your [inaudible; 0:02:10.7], yeah the more I read it it's definitely fake.""",false post looks fake,37,7, , , ,1,1,1,10.729,34,3,0.904,6,7,7.049,28,10,1,11,1,5,3.28,0.95,2.65,2.45,5.83,5.29,1.73,2.65,3.16,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
5,13,"""I don't know, I'm going to say fake.""",false post looks fake,37,7, , , ,1,1,1,2.234,12,10,7.705,36,27,0.443,3,2,1,11,1,5,1.49,2.78,0.67,6,3.46,1.73,3.16,5.2,1.41,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
6,13,"""This one this is a different Twitter handle than the last one that's for the FDA. So, I'm going to assume this one is true. I don't know, it looks-- I don't know, like, cleaner than the other FDA post. They also provided a link that does go to FDA.gov. So I'm going to assume it's true. They do back it up with that paragraph as well.""",FDA,7,2,links,16,4,2,2,1,2.613,14,12,3.252,18,11,3.465,20,14,1,11,1,5,1.62,1.8,1.86,4.24,3.74,4.47,3.46,3.32,3.74,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
7,13,I don't know. I'm going to say I can't really tell. I mean they don't back it up with any facts or like studies.,cannot decide,12,3, , , ,0,1,2,4.419,17,9,2.233,14,10,1.429,12,10,1,11,1,5,2.1,1.49,1.2,3.74,4.12,3.46,3,3.16,3.16,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
8,13,"""This is the same FDA account. It really just contradicts the last post. Again, with the FDA.gov link. So, I'm going to assume this one's true.""",FDA,7,2, , , ,2,2,1,2.349,7.83,9,4.139,13.796,16,8.362,27.872,33,1,11,1,5,1.53,2.03,2.89,3.71,2.8,5.28,3,4,5.74,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
9,13,"""I mean this whole thing just-- I mean director of homeopathy. It just doesn't seem legit. I just I don't know, it doesn't make sense. Plus it contradicts what the FDA said.""",false post looks fake,37,7, , , ,1,1,1,4.073,9,2,2.958,14,4,2.448,9,0,1,11,1,5,2.02,1.72,1.56,3.74,3,3,1.41,2,0,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
10,13,"""I mean this is like different than Covid, this is more like, I don't know for skin. I know my mom takes collagen peptides. I don't know if they work or not, but I'm going to say it's true. I mean it can't hurt.""",looks possible/promising,29,6, , , ,2,1,2,0.526,7.936,27,6.276,10.303,36,0,2.201,13,1,11,1,5,0.73,2.51,0,3.21,2.82,1.48,5.2,6,3.61,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
11,13,"""I don't know, I feel like all of these are always fake. I mean I'm pretty sure you can't increase like your testosterone by taking stuff, but I don't know. I feel like these are always gimmicks. They do back it with Men's Fitness and Muscle Health. I don't know if that's true though. And the Facebook likes too.""",false post is biased ad,33,7,false post looks fake,37,7,1,1,1,2.546,14,11,3.007,12,4,0.509,5,3,1,11,1,5,1.6,1.73,0.71,3.46,3.74,2.24,3.32,2,1.73,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
12,13,"""I mean this is probably a true post. I don't know if you want to believe if it's true or not. I mean Newsweek is a pretty good source, I think.""",reliable/credible source,5,2, , , ,2,1,2,5.832,21,16,13.129,51,21,2.201,8,4,1,11,1,5,2.41,3.62,1.48,7.14,4.58,2.83,4,4.58,2,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
13,13,"""It seems true. I mean they have a doctor talking about it. I don't know, I can't really tell what this is like related to. This is Amazon.com so I'm assuming it's just information on the Nyquil.""",doctor,9,2, , , ,2,2,1,0.838,4,4,2.267,12,5,4.222,15,4,1,11,1,5,0.92,1.51,2.05,3.46,2,3.87,2,2.24,2,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
14,13,"""I mean this guy has no credibility. He does have the CDC link, which I guess is a good sign, but it just I don't know, he doesn't seem like a qualified person. He's unverified. His profile picture just seems-- it seems a little suspicious. I'm going to say it's a real person then, probably.""",false post from random person,59,10, , , ,1,2,2,9.253,42,19,9.745,44,22,2.086,8,3,1,11,1,5,3.04,3.12,1.44,6.63,6.48,2.83,4.36,4.69,1.73,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
15,13,I mean I feel like this is just someone's opinion. I mean not factual whatsoever. They also have that Trump and Melanie profile picture too.,false post based on opinion,58,10, , , ,1,1,1,7.77,34,17,7.625,35,17,2.071,7,4,1,11,1,5,2.79,2.76,1.44,5.92,5.83,2.65,4.12,4.12,2,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
16,13,"""Again, it's the verified account. I've never heard of them before, but I don't know, usually I don't know how good Twitter verification is, but I'm assuming it's not misinformation. They have the CDC link too.""",CDC,6,2,verified,17,4,2,2,1,2.284,9,8,11.304,50,27,7.278,28,5,1,11,1,5,1.51,3.36,2.7,7.07,3,5.29,2.83,5.2,2.24,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
17,13,"""I can't really tell what's going on the picture. I mean who is [Inaudible; 0:08:40.8, sounds like: """"Kennedy""""]. I mean the first thing that came to mind was JFK, also Alex Jenner [assumed spelling]. It just doesn't look like a good account.""",cannot decide,12,3, , , ,0,1,2,2.448,15,12,7.261,37,23,6.768,24,5,1,11,1,5,1.56,2.69,2.6,6.08,3.87,4.9,3.46,4.8,2.24,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
18,13,I mean she's quoting the FDA. I can't tell-- I think there's multiple FDA accounts that's what I have realized. I mean it's just her opinion on it. I don't know if what she said is true. I mean if you go to the article you could probably read it and see if it's true.,FDA,7,2, , , ,0,2,2,2.611,13,10,7.364,40,32,8.148,31,13,1,11,1,5,1.62,2.71,2.85,6.32,3.61,5.57,3.16,5.66,3.61,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
19,13,"""This looks like your typical, like, I don't medication ad like you would get in a pamphlet or something. So, I'm going to say it's legit.""",looks possible/promising,29,6, , , ,2,1,2,4.453,17,8,6.029,22,7,1.66,5,2,1,11,1,5,2.11,2.46,1.29,4.69,4.12,2.24,2.83,2.65,1.41,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
20,13,"""It's Harvard Public Health, another good verified source. So, I'm going to say it's true. I feel like you always can't take the verification for, like, face value though. I think you always should be still skeptical.""",Harvard,8,2, , , ,2,2,1,2.774,15,14,8.725,36,18,4.091,20,14,1,11,1,5,1.67,2.95,2.02,6,3.87,4.47,3.74,4.24,3.74,5,5,2,2,4,1,1,4,2,3,2,3,3,2,3,2,2,2,2,4,5,1,5,5,7,7,3,4,3,7,7
1,14,"""I think that's fake because she has an emoji by her name, first of all. Just the vocab she's using. And just, like, she's being very discriminatory towards one group of people. So, I think it's fake.""",false post looks fake,37,7,targets specific people,53,9,1,1,1,0.756,4,3,0,0,0,0.115,1,1,2,12,1,5,0.87,0,0.34,0,2,1,1.73,0,1,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
2,14,I believe this is real. It has a verified checkmark. All of the grammar is good. Relevant picture.,verified,17,4,good grammar,47,9,2,2,1,1.626,11,11,0,0,0,0,0,0,2,12,1,5,1.28,0,0,0,3.32,0,3.32,0,0,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
3,14,I think this is real as well. Has correct grammar. Relevant information about the topic. Pictures are accurate.,good grammar,47,9,photo,20,20,2,1,2,19.158,60,18,0,0,0,2.119,10,7,2,12,1,5,4.38,0,1.46,0,7.75,3.16,4.24,0,2.65,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
4,14,I think this is fake. The name and just the address and the date is very informal. And just the context of the prescription. It's not really how prescriptions usually go.,false post looks fake,37,7, , , ,1,1,1,2.974,9,5,0,0,0,1.035,3,2,2,12,1,5,1.72,0,1.02,0,3,1.73,2.24,0,1.41,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
5,14,"""I think this looks real. The vocab and grammar is correct as well. She looks, like, reliable just based off her name and profile picture.""",good grammar,47,9,reliable/credible source,5,2,2,1,2,4.782,28,21,0.346,5,4,0,0,0,2,12,1,5,2.19,0.59,0,2.24,5.29,0,4.58,2,0,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
6,14,"""I believe this is real as well. Again, where it's coming from, the FDA, verified. Good grammar and vocab. What they have linked looks like it's real.""",FDA,7,2,verified,17,4,2,2,1,4.699,15,11,0,0,0,0.79,2,1,2,12,1,5,2.17,0,0.89,0,3.87,1.41,3.32,0,1,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
7,14,"""I believe this is false because there's no information about where the information is coming from no author. Just the way it's kind of worded, it looks pretty informal.""",false post has no credentials,63,10, , , ,1,1,1,0.05,1,0,0,0,0,0.033,2,0,2,12,1,5,0.22,0,0.18,0,1,1.41,0,0,0,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
8,14,I think this is false. The way that what they have listed about the pictures just looks very informal. I don't think the FDA would word something like this.,photo,20,20,false post unprofessional,60,10,2,2,1,2.464,8.215,11,0,0,0,0.789,2.63,9,2,12,1,5,1.57,0,0.89,0,2.87,1.62,3.32,0,3,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
9,14,I think this is false. It just doesn't look like it's coming really from a reliable source. There's really not much information about her background or how she's accredited to be talking about this.,false post from random person,59,10, , , ,1,1,1,0,0,0,1.117,6,4,0.575,5,5,2,12,1,5,0,1.06,0.76,2.45,0,2.24,0,2,2.24,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
10,14,"""I think this is real. It looks like the benefits are pretty accurate about what collagen does and sugar. Good graphics. Doesn't really look like there's anything that they put on there that's trying to [inaudible; 0:05:22.1, sounds like: """"target you with.""""]""",looks possible/promising,29,6,photo,20,20,2,1,2,4.469,6.309,27,-1,0,0,-1,0,0,2,12,1,5,2.11, , ,0,2.51,0,5.2,0,0,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
11,14,This looks real as well. I feel like I've seen advertisements that look pretty similar to this.,looks possible/promising,29,6, , , ,2,1,2,0,0,0,1.15,5,6,10.003,34,17,2,12,1,5,0,1.07,3.16,2.24,0,5.83,0,2.45,4.12,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
12,14,"""This kind of looks fake. I'm not really sure, but, yeah, I don't know. Just the way the title looks pretty false.""",false post looks fake,37,7, , , ,1,1,1,0,0,0,0.444,2,1,5.832,25,13,2,12,1,5,0,0.67,2.41,1.41,0,5,0,1,3.61,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
13,14,This looks real. Relevant information. I know both those that medicine I'm familiar with. Then you have a doctor giving his recommendations.,looks possible/promising,29,6,doctor,9,2,2,2,1,0,0,0,5.948,23,11,0.213,1,0,2,12,1,5,0,2.44,0.46,4.8,0,1,0,3.32,0,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
14,14,"""I think this is fake. He doesn't really have any accreditations about what he's saying or what it seems like yeah, just the context seems a little false.""",false post looks fake,37,7,false post has no credentials,63,10,1,2,2,7.414,30,21,3.796,14,10,1.166,8,7,2,12,1,5,2.72,1.95,1.08,3.74,5.48,2.83,4.58,3.16,2.65,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
15,14,"""I think this looks false. No comments, no likes. I don't know, just what she's saying just doesn't really look accurate.""",false post unclear,39,7, , , ,1,1,1,2.412,18,10,0,0,0,0.69,2,1,2,12,1,5,1.55,0,0.83,0,4.24,1.41,3.16,0,1,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
16,14,"""This looks real. The picture has the CDC listed. Pretty formal writing, accurate grammar and everything. It's coming from a verified source.""",CDC,6,2,good grammar,47,9,2,2,1,2.364,13,11,1.888,13,10,2.858,11,6,2,12,1,5,1.54,1.37,1.69,3.61,3.61,3.32,3.32,3.16,2.45,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
17,14,This looks real. Picture looks relevant to what they're talking about. The context of the caption makes sense.,looks possible/promising,29,6,photo,20,20,2,1,2,4.977,25,21,1.578,10,10,1.955,6,3,2,12,1,5,2.23,1.26,1.4,3.16,5,2.45,4.58,3.16,1.73,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
18,14,"""This looks real, too, coming from the FDA. She has her certifications next to her name. Yeah.""",looks possible/promising,29,6,FDA,7,2,2,2,1,0.165,2,1,0.23,2,0,0.427,3,1,2,12,1,5,0.41,0.48,0.65,1.41,1.41,1.73,1,0,1,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
19,14,"""This looks real. It seems like something I've seen before for some kind of medicine, diabetes.""",looks possible/promising,29,6, , , ,2,1,2,3.417,19,21,0.049,1,0,0,0,0,2,12,1,5,1.85,0.22,0,1,4.36,0,4.58,0,0,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
20,14,"""This looks real as well. The context what they're saying is formal, good grammar. Relevant to the article they're linking.""",good grammar,47,9,links,19,4,2,2,1,1.099,7,8,0.592,5,6,4.502,16,9,2,12,1,5,1.05,0.77,2.12,2.24,2.65,4,2.83,2.45,3,4,4,2,3,4,2,2,4,2,2,2,3,2,2,3,2,4,3,3,4,4,2,2,4,9,6,7,3,7,3,4
1,15,I would say this is not true because I don't see how the New Testament would have anything about the vaccine.,obvious falsehood,56,10, , , ,1,1,1,1.035,5,5,8.313,33,10,3.516,14,11,2,13,1,6,1.02,2.88,1.88,5.74,2.24,3.74,2.24,3.16,3.32,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
2,15,"""This one I'd say is true because it was posted by the FDA, Drug Information, and it has a blue checkmark next to its Twitter name, so that seems like it's very you can trust them. And it has a USA .gov link at the end of it.""",FDA,7,2,verified,17,4,2,2,1,6.604,21,12,1.398,11,11,6.652,25,12,2,13,1,6,2.57,1.18,2.58,3.32,4.58,5,3.46,3.32,3.46,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
3,15,"""I would be hesitant to say this is true. I would say this is false because I've never heard of DoFasting [assumed spelling]. That doesn't mean that it can't be true, but I've just never heard of it before and there's no content from her.""",false post has no credentials,63,10, , , ,1,1,1,11.879,47,12,3.565,16,7,7.92,35,17,2,13,1,6,3.45,1.89,2.81,4,6.86,5.92,3.46,2.65,4.12,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
4,15,"""I would say this is true because it says at the top that it's by an MD and there's a pharmacy symbol up there as well-- but, those are both easy-- that they could just add those on there to make it seem true.""",doctor,9,2, , , ,2,1,2,13.553,45,10,1.709,8,6,1.429,8,6,2,13,1,6,3.68,1.31,1.2,2.83,6.71,2.83,3.16,2.45,2.45,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
5,15,"""I think this seems like it could be true. It seems like they know what they're talking about and it looks like it's from a doctor, but again there's not really any evidence that this person actually does know what they're talking about.""",doctor,9,2, , , ,2,1,2,0.821,6,4,9.118,39,20,0.838,4,2,2,13,1,6,0.91,3.02,0.92,6.24,2.45,2,2,4.47,1.41,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
6,15,"""This one I would say is true, again, because it's by the FDA and they have a blue checkmark by their Twitter name. And then the link is from the FDA.gov and that's a really reliable source.""",FDA,7,2,verified,17,4,2,2,1,0.789,5,4,2.087,12,7,6.981,30,17,2,13,1,6,0.89,1.44,2.64,3.46,2.24,5.48,2,2.65,4.12,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
7,15,"""I would say this is not true because it doesn't say who it's by. It's just a """"Did you know"""" there's not an author or a link or anywhere that it says who wrote this.""",false post has no credentials,63,10, , , ,1,1,1,1.922,9,7,2.447,10,5,0.657,6,5,2,13,1,6,1.39,1.56,0.81,3.16,3,2.45,2.65,2.24,2.24,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
8,15,"""I think this would be true because, again, it's by the FDA, who is a reliable source. And the link is from the FDA.gov, which is also a very reliable source.""",FDA,7,2,reliable/credible source,5,2,2,2,1,1.117,3.723,6,3.614,12.046,15,5.75,19.167,20,2,13,1,6,1.06,1.9,2.4,3.47,1.93,4.38,2.45,3.87,4.47,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
9,15,"""I think this could be true because at the bottom it says it was written by a doctor, but anybody can say that they're a doctor and not actually be one. But, if I was reading this I would be hesitant to believe it, for sure.""",doctor,9,2, , , ,2,1,2,6.966,20,8,2.332,13,7,1.084,7,5,2,13,1,6,2.64,1.53,1.04,3.61,4.47,2.65,2.83,2.65,2.24,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
10,15,"""I would say this is false because every point on there has a star and at the bottom it says """"results may vary."""" And this ad looks likes anybody could make it.""",false post is biased ad,33,7, , , ,1,1,1,0.657,6.951,25,4.633,6.424,22,0.181,1.823,11,2,13,1,6,0.81,2.15,0.43,2.53,2.64,1.35,5,4.69,3.32,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
11,15,"""I would say this is true because in the top right it says it's seen on Men's Health and Muscle Fitness and Men's Fitness, which are well-known magazines and websites.""",reliable/credible source,5,2, , , ,2,1,2,1.396,4,2,1.117,6,4,0.428,3,1,2,13,1,6,1.18,1.06,0.65,2.45,2,1.73,1.41,2,1,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
12,15,"""I would say this is true. I have heard of Newsweek before and I-- they're not as reliable as other news sources, but since they're well-known I think it would be OK to believe this.""",reliable/credible source,6,2, , , ,2,1,2,6.406,27,16,7.408,30,11,2.941,14,6,2,13,1,6,2.53,2.72,1.71,5.48,5.2,3.74,4,3.32,2.45,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
13,15,"""I would say this could be true because it was backed up by a doctor, which it says in the second paragraph. And he gives some recommendations and suggestions, which also makes him seem reliable.""",doctor,9,2, , , ,2,2,1,0.691,6,4,2.595,12,4,1.972,8,1,2,13,1,6,0.83,1.61,1.4,3.46,2.45,2.83,2,2,1,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
14,15,"""I would say coming from this person on Twitter I wouldn't immediately think it was true, but he does include a link from the CDC. So if I could find that same information from that website then I would think it is true.""",CDC,6,2,links,16,4,2,2,1,3.681,15,11,7.916,43,23,0.755,3,1,2,13,1,6,1.92,2.81,0.87,6.56,3.87,1.73,3.32,4.8,1,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
15,15,I don't think this one is true because this is just a random person stating their opinion and replying to other people on Twitter and they don't really seem to know what they're talking about.,false post from random person,59,10, , , ,1,1,1,5.504,28,17,10.63,50,21,1.495,8,3,2,13,1,6,2.35,3.26,1.22,7.07,5.29,2.83,4.12,4.58,1.73,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
16,15,This I would say is reliable because their Twitter name does have a checkmark by it and they include an ad from the CDC as well to go with their point.,CDC,6,2,verified,17,4,2,2,1,0.756,5,5,8.626,38,22,9.611,38,7,2,13,1,6,0.87,2.94,3.1,6.16,2.24,6.16,2.24,4.69,2.65,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
17,15,"""I would say this is false. I mean it could be true, but this guy just doesn't seem like he's a credible source to get information from.""",false post from random person,59,10, , , ,1,1,1,0.656,6,4,4.927,27,21,10.907,45,18,2,13,1,6,0.81,2.22,3.3,5.2,2.45,6.71,2,4.58,4.24,4,4,2,2,2,4,4,5,2,2,1,3,5,2,3,4,3,4,4,3,5,2,4,5,7,6,7,2,8,7,3
